147|N16571702|49.0258714|8.3036955|Tulla Denkmal
147|N21451585|47.9376886|8.0201794|Hirschsprung
152|N22179552|52.9817280|8.8492807|Weyher Theater
143|N23657181|48.9643383|10.1391605|Schloss ob Ellwangen
147|N25187762|48.9950528|8.3959525|Georg-Ludwig-Winter-Denkmal
149|N25393487|53.8683189|10.6857702|Buddenbrookhaus
149|N25393491|53.8603842|10.6856317|Museum für Natur und Umwelt
149|N25393497|53.8713790|10.6899139|Heiligen-Geist-Hospital
152|N25393506|53.8649753|10.6924408|Theater Combinale
147|N25969870|49.0151021|8.3983798|Feldartilleriedenkmal
152|N26022810|51.3376407|12.3333339|Theater der Jungen Welt
152|N26022926|51.3361580|12.3391082|Musikalische Komödie
147|N26133923|51.1049538|13.8150676|Wettinsäule
147|N26607434|53.4391900|9.9021203|Otto von Bismarck
137|N26886009|49.6553409|8.4345703|Sackstein
147|N26931576|51.4518209|6.6252148|König Friedrich I.
149|N27088335|48.9897258|8.5008197|Uhrenmuseum
147|N26972366|52.5227738|13.3472206|Konrad Zuse
149|N27147696|52.0213587|8.9162915|Weserrenaissance-Museum
147|N27224260|50.1253014|11.3360343|Fliegergrab
147|N27431777|52.4841350|13.3874049|Luftbrückendenkmal
143|N27558434|48.4620386|11.8649958|Schloß Inkofen
149|N29025271|49.4379959|8.1810903|Sektschloss Wachenheim
147|N29683689|52.4518300|13.3663100|Zentralpunkt Rauenberg
138|N30012753|52.4940425|13.4291868|Umspannwerk
137|N30114707|50.9618199|14.0743603|Felsenburg Neurathen
152|N30206383|49.6318392|8.3607943|Lincoln Theater
151|N30208785|49.9625890|10.8555957|Helenenkapelle (Zu den elenden Heiligen)
149|N30401849|50.5849303|8.6131744|Heimatmuseum Heuchelheim
147|N30729838|49.7247253|8.4860942|Kröncke-Denkmal
147|N30769870|53.6225515|10.0188597|Gedenkstätte Konzentrationslager Fuhlsbüttel
143|N30918857|49.3711545|11.3273370|Schloss Grünsberg
137|N30854377|48.8704579|10.3570300|Ipf, keltisches Oppidum
143|N30854391|48.8520112|10.3609795|Ruine Flochberg
147|N30868159|52.5407543|13.3227163|Gedenkstätte Plötzensee
143|N31013768|49.4580789|11.0753908|Kaiserburg
149|N31287837|52.1380519|13.3653726|Heimatstube Sperenberg
143|N31417051|52.2011425|9.2011402|Burg Schaumburg
147|N31477371|53.5881739|9.9004894|Uwe-Seeler-Denkmal
138|N31562655|51.3431565|12.3347924|KAOS Villa
149|N31768100|50.6989455|7.1506573|Deutsches Museum Bonn
143|N31807563|50.6150329|8.6344314|Burg Gleiberg
142|N32530205|48.4441490|8.6864591|Ihlinger Tor
147|N32541879|51.0686966|13.8031067|König-Albert-Denkmal
149|N32548136|50.0349774|8.6144989|Zeppelin-Museum
149|N33234783|49.3367961|11.0181305|Schwabacher Stadtmuseum
149|N33378731|51.6450981|10.9831861|Mausefallen- und Kuriositätenmuseum
142|N33410810|48.0533319|10.8776037|Sandauer Tor
143|N33533898|50.6205137|8.6169323|Burg Vetzberg
137|N34378270|50.1105353|8.6843727|Archäologischer Garten
152|N34036242|50.7899205|6.1123358|DAS DA Theater
152|N34467836|52.6757458|9.1576778|Freilichtbühne Marklohe
152|N34483098|48.0122108|7.8148330|Seebühne
152|N34579808|49.0336028|8.4340362|Die Käuze
147|N34709943|48.9776350|9.5779277|Kriegsdenkmal
143|N34729562|47.9104140|11.1834680|Hochschloß Pähl
138|N34916502|50.1103421|8.6835317|Schirn Kunsthalle Frankfurt
143|N34924889|48.7426438|9.7162790|Burgruine Hohenstaufen
149|N35151576|48.1159284|11.2062224|Bauernhofmuseum Jexhof
147|N35244978|47.6843791|9.2921342|Kriegsgräberstätte Lerchenberg
138|N35434200|51.0861514|6.8890439|Kulturzentrum
143|N36394741|51.8934561|6.9840794|Schloss Velen
149|N36742694|49.9726966|8.7947649|Töpfermuseum
148|N37119375|48.9824053|8.2048926|Drei Könige
151|N39332517|50.4997933|8.6993921|Kastell Holzheimer Unterwald
147|N40096249|48.8312156|9.1536992|Hellmuth-Hirth-Denkmal
149|N41740218|50.9789498|6.2646367|Heimatmuseum
147|N41740228|50.9800696|6.2679244|Gedenkstein Synagoge
